imdb_id,predicted_averageRating,title
tt9663764,4.3,Aquaman and the Lost Kingdom
tt15799866,9.2,Silent Night
tt15398776,8.2,Oppenheimer
tt14362112,6.0,Trolls Band Together
tt6495056,6.5,Migration
tt11304740,7.2,Wish
tt23289160,9.5,Godzilla Minus One
tt7599146,7.2,Sound of Freedom
tt21942866,7.1,Dream Scenario
tt23060796,6.9,There's Something in the Barn
tt6685538,6.1,Mavka: The Forest Song
tt14570440,8.1,Radical
tt1200263,7.0,The Color Purple
tt26047818,6.0,Anyone But You
tt6587046,7.9,The Boy and the Heron
tt16300962,7.5,When Evil Lurks
tt14849194,6.1,The Holdovers
tt17009710,7.7,Anatomy of a Fall
tt14230458,7.4,Poor Things
